영화제목,아이디,평점,댓글
카우보이 비밥 - 천국의 문,cllo****,10,하드보일드를 현실화 한다면 그게 바로 이작품. 그리고 스파이크.
모가디슈,kmmj****,1,류승완이 이런 쓰레기영화를 찍다니;; 이러고 왓는데 여기 평점이 왜이러냐 ㅋㅋ
모가디슈,disa****,10,좋은 감독의 좋은 배우의 조합으로 탄생한 잘만든 영화
모가디슈,hanj****,8,잼있긴한데 2프로 부족하게 봤네요 결론은 가뭄같이 나오는 한국 영화로서 볼만합니다 역사적으로 공부도 되고
마당을 나온 암탉,tora****,8,이렇게 완성도 높은 애니를 전문성우한테 맡겼으면 좋았을껄ㅠ
모가디슈,dlwl****,8,류승완치고 코믹하지 않아서 아쉬웠다 스케일이 엄청 커서 보는 맛이 있다
석양의 무법자,tezu****,10,"옛날 영화 치고 연출 자체도 시크해서지금 봐도 위화감도 크게 안든다영상미, 배우, 전개 나무랄데 없이관객을  만족시킨 영화라 생각한다안타까운게 서부영화가 마초적이라여자들이 잘 안 보지만 이것 만큼은 추천함"
모가디슈,sjwi****,6,오늘 조조로 봤는데  북한 나오는건지 몰랐다는 김윤석조인성 다 좋아해서 기대했는데 배우들은 좋은데 북한미화 개시러 뭔놈의 총을 글캐 쏴대서 맞는데도 차 멀쩡하게 끝까지도착하네 방탄차라도 그리 총을 맞으면 진작 퍼졌겠닼ㅋ타이어는 왜 못맞추냐
랑종,cdg1****,1,나홍진 X 반종 피산다나쿤 조합 너무 기대했는데 최악 of 최악 한번 본 것도 시간 아까운 영화 페이크다큐를 선택하지 않는게 더 나았을뻔...
모가디슈,ann8****,10,오랜만에 극장 갔다...ㅎ
모가디슈,bern****,10,와우~ 모가디슈 퀄리티 무엇!! 이건 극장에서 꼭 봐야함!! 4DX로 봤더니 카체이싱씬에선 내가 탈출하는 줄.. 김윤석 배우님 인터뷰에서 모가디슈 1km 거리 미술세팅이 어딜봐도 그림이 나온다더니. 역시나 사냥의 시간 미감님 최고!! 얼굴천재 조인성님 이번 연기 넘 좋았음~ 김윤석님이랑 케미도 좋고. 허준호님 무게감도 좋고~ 하다못해 외국배우들까지 연기 구멍이 없었음. 한번 더 보고 싶어짐
방법: 재차의,nba1****,9,오랫만에 재미있게 본 영화. 드라마 꿀잼이었는데....영화도 꿀잼이네요. 후속작 나오나요?...나왔으면 좋겠네요.
랑종,gang****,4,"공포영화의 탈을 쓴 불쾌, 기괴한 작품"
방법: 재차의,dmsg****,8,소설 퇴마록의 향수를 느낄 수 있는 영화였다
모가디슈,tang****,10,오랜만에 영화관에서 볼맛나는 영화! 배우들 연기 미쳤다!!!
정글 크루즈,88le****,10,포디로 재관람 예약합니다..
모가디슈,jung****,10,간만에 몰입해서 끝까지 쭉 본 영화. 별 기대 안했는데 완전 흡입력 쩔임. 특히 어제 나온 남북 통화 연결 뉴스에 감정이 올라 있는 상태여서 더욱 마음에 남는 마지막장묜이었음.
모가디슈,htti****,7,시간 끌기위함인지 볼거리 제공인지 쓸데없는 카체이싱이 과함. 배우들 연기는 좋았고 조인성은 그럭저럭. 신파없음은 굿
정글 크루즈,wipy****,10,더위 날아가는 기분ㅋㅋㅋ 러닝타임 내내 후룸나이드 타는 것 같음
모가디슈,715y****,7,긴 시간이지만 볼 만했다.
러브 어페어,swin****,10,말이 필요없는 10점의 명작입니다.
방법: 재차의,kimm****,10,역시 한국 좀비는 달라운전도 할 줄 알고 피해 안주려고 정차된 택시만 뺏어서 5명씩 타고 다니네역시 예의범절의 나라
모가디슈,rlad****,4,영화는 재미있으나 너무 좌파식 영화라 중간중간 벌편했음. 역시 언론 영화 방송 모든걸 몇OO전부터 차곡차곡 선동세뇌한 결과같음
박쥐,uni2****,10,생각보다 평점이 너무 낮아 별점만점준다. 앞부분 선정적이라고 생각했는데 끝까지 보면 불필요한 장면은 아닌듯.배우들의 몸사리지 않는 연기에 박수쳐주고 싶다.송강호역에 좀 잘생긴 배우였으면 좋겠다고 느꼈으나 그 생각은 극이 진행될수록 사라졌다. 역시 대배우임. 김옥빈 역시 이 영화에서 빛이 나네.
"러브, 로지",gkst****,8,어쨋든 현실적으로 안타깝고 앞으로 마냥 행복할 수 있을거같아보이지는 않아서 9점
셔터 아일랜드,kgrt****,10,재밌게봤다디카프리오는 역시 믿고 봐야지!!
마이너리티 리포트,kgrt****,9,오래됐지만 잘만든 영화라고 생각한다.그 개봉당시에는 얼마나 신박하다 생각했을까? ㅎㅎㅎㅎ
모가디슈,tlsg****,10,정말 재미있었습니다. 액션과 유머 다 잡았다고 생각합니다! 스토리도 당연히 좋았고요.
모가디슈,ajav****,10,감정은 담백하게! 액션은 화끈하게! 연출은 노련하게! 류승완감독이 각잡고 만든 수작!!
방법: 재차의,geey****,10,"배우님들 연기 진짜 잘해서 몰입 잘되는 영화였음 특히 재차의들(?)이 쩔었고 걍 연기,연출,스토리 다 완벽함 이번년도 본 영화중 가장 맘에드는 영화임"
랑종,rkdd****,6,제 기준 무섭긴했는데… 음… 다보고나서 기분이 좋지않았네요 ㅠㅠ
발신제한,dnjs****,4,킬링타임도 안되는거같은데 3류 자동차 광고 영화 그이상도 이하도 아니다
모가디슈,taex****,8,간만에 볼만한 한국영화였어요
쥬라기 공원,juhu****,10,20세기 최고의 영화.
방법: 재차의,tnwj****,10,배우들  연기가  어마어마  특히  제시  쩐다근디 오윤아분  발ㄹ연기는  어쩔 ㅠㅠㅠ (드라마편  조민수랑  너무 비교됨 ㅠㅠㅠㅠ)약  제작과정의  윤리문제   그리고  부성애 ㅠㅠㅠ  돈이 뭐라고 OO ㅠㅠ그라고  곁에잇는  사람들에게  잘하자 ... ㅠㅠ근디  드라마랑  다를꺼라고 기대하고 본다믄 실망할수도..하지만  난  좋앗뜸
모가디슈,xena****,10,"초반에 운동권 미화하는 줄 알고 보기 불편했다가 특유의 무지성, 폭력성 비판까지 담겨있어 그냥저냥 중립으로 볼만했고, 신파가 아닌 우린 어쩔 수 없구나하는 JSA 느낌의 결말에서 울컥하기까지 함. 기대보다 여러모로 괜찮았고 적당했다."
정글 크루즈,kyji****,10,꼭보세요! 또 보세요!
버즈 오브 프레이(할리 퀸의 황홀한 해방),deli****,1,너무 재미가 없어요.. DC 진짜 어쩌려고 이러냐.. OST만 좋음
정글 크루즈,qpwl****,10,나도 함께 모험의 세계로 빠져든다 !
잉글리쉬 페이션트,lizh****,5,누군가의 가슴을 찢어놓고 '사랑'이라 칭하는 것에 공감해 줄 수 없다.캐서린은 두 남자의 마음을 모두 짓밟았다.
랑종,savi****,8,"여주인공의 연기가 대단했다고 생각한다.초반에 다큐스타일로 끌어가던 스토리가 현실성있고 재밌었는데 뒤로 갈수록 비현실적인요소가 강해지면서 좀… 아쉬웠음.믿음과 죄, 희생, 가족애 등등 인생의 여러가지에 대해 생각해보게하는 메세지들이 있어서나름 봐볼만 하다고 생각한다."
모가디슈,hara****,10,마지막에 왜 1명만 죽여요...
발신제한,kbsu****,1,배우들 연기만 놓고 보면 아쉬움은 없지만그래서 결국 말하고자하는 게 뭔지 모르겠는 영화.처음부터 끝까지 찝찝한 영화였음.
크루엘라,deli****,1,너무 재미가 없어서 중간에 관람포기
방법: 재차의,anni****,10,엄청 유명했던 드라마라 영화도 재밌게 봤어요! 배우분들 모두 너무 멋지네요!
방법: 재차의,dai5****,10,재밌는 영화! 요즘은 좀비들이 비행기도 모네요 ㄷㄷ
랑종,orol****,6,"방금 보고 나왔어요여자 혼자 다녀왔어요곡성 개인적으로 좋아하는 작품이라 감독님 믿고 다녀왓는데저는 곡성이랑 비교 안됩니다그냥 보여지는 것에 치중한 영화에요^^ 킬링타임이에요 보고나서 아무 느낌도 없고, 동물 걸신이 많이씌였구나.. 여자주인공이 연기하고 눈 뒤집느라고생이 많으셨겠다 ㅠㅠ 어휴 (진심 건강 걱정되는 영화;;)잘 놀래시는 분들 4-5번 정도 놀랠 준비하고 가세요 고어 적인거 크게 없어요^^; 한번정도요??전체적으로 남은 것은님의 모습에서 모든건 내가 진심으로 믿는것에내 마음에 달려 있는거 같습니다."
모가디슈,kjg5****,8,근래들어 처음으로 보다잠들지않음
모가디슈,sony****,10,가슴  쫄리면서  터져나오는   악소리  참느라   혼났네요   시작은   미미했으나  끝은 창대하리라  그런 느낌 누구하나   모자라지 않은  연기력    꽉 채워진 긴장감   마지막은   감동까지  ~~  재미있게  봤네요
늑대와 춤을,tiso****,10,올만에 봤는데 몰입해서 초등학생애랑 봤네요 설명해주면서 보는데 이해한건지모르겠는지 ㅋ 90년대는 이런 영상미넘치는 대작이 나왔는데 지금은 너무 컴터그래픽에 의존해서 ~물론 레버넌트같은 작품은 걸작이죠
좀비크러쉬: 헤이리,deli****,2,죄송합니다 너무 재미가 없었습니다. 헤이리를 배경으로 한 좀비물이라는 소재 자체가 너무 신박한데!! 기대를 엄청했는데!! ... ㅠㅠ
정글 크루즈,jj20****,4,스토리 많이 약해요.. 그냥 눈으로 놀이기구 타러 오실 분들에게 추천
골드,norm****,10,네이버 영화 정보 데이타베이스 왜 이렇게 바뀌었나요? 출연진 정보도 없고 예전보다 불편해졌네요
블랙 위도우,ycn0****,9,아주 재미있었음
이 세상의 한구석에,myha****,8,일본인들의 감정을 지나치게 절제하는 모습은 정말이지 볼 때마다 놀랍다.
모가디슈,leah****,10,"이런 영화는 영화관 가서 봐야 몰입도, 감동 더 배로 오는 것 같아요"
랑종,sjhz****,2,힘들었습니다ㅜㅜ비추입니다
모가디슈,pcwh****,10,더위와 코로나를 잊게 만든 영화
카운트다운,whdu****,5,해피 데스데이 같은 느낌의 영화 근데 퀄리티는 더 떨어짐
유감스러운 도시,wogn****,10,재밌는데 왜 OO들이지.  평론가들
모가디슈,mago****,10,간만에 박진감 넘치는 한국 영화를 영화관에서 보니 넘 좋네요
모가디슈,1csj****,9,너무 가슴 절절한 신파도 없고 적당한 절제 그리고 재미 교훈이 영화 보시고 블랙호크다운 보시면 소말리아 내전의 역사를 알 수 있습니다
모가디슈,juli****,8,긴박했고 대단했다. 절제속에 가슴이 뜨거워 졌다. 신파없다. 과잉없다. 정치적 편향없다. 좋다.
모가디슈,xnxx****,8,돈은 아깝지 않은 영화 기대이상.
정글 크루즈,tonh****,10,4dx로 못봐서 너무 아쉽다ㅠㅠㅠㅠ 난 다 만족!!
모가디슈,hseh****,10,"구교환 반도에서와는 다른 이미지, 너무 멋있다 입덕했음"
푸른 골짜기,baru****,9,초반에는 조금 지루하지만 아이가 좋아해요
모가디슈,ktw_****,8,마지막 차량탈출씬은 쫌 오버한감이있는..자동차 방호력이 무슨 험비수준 ㄷㄷ 그외엔 그냥저냥 괜찮았음 해외로이케션에 공들인 티는남
모가디슈,j5v2****,10,"기대이상, 최근 한국 영화중 가장 수작인듯"
모가디슈,mai6****,10,와 진짜 재밌어요 의미잇고 감동적이고 긴장감도 대박입니당
발신제한,qodn****,1,배우들은 연기를 잘하는데 스토리 연출 포함 나머지가 못따르는 대표적인 영화 헬기가 차량 막아설때 실소 터졌음 ㅋㅋㅋ 그리고 뭔 친동생 확인도 안하고 딸내미까지 내주나?? 말도 안되는 스토리에 어마한 연기력을 쏟아 부은 씁쓸한 작품인듯 21년도 인데 아직도 이런 영화가 나오고 투자를 받는게 신기할 다름 말이 안되는 내용을 말이 되게끔 만드는게 영화지 말이 되는 내용을 말도 안되게 만드는건 누구 머리에서 나오는거냐
발신제한,gf60****,1,감독님 차량 시트 밑에 폭탄 설치해도 되나요?
모가디슈,uxmq****,10,영화에 집중하다보니 더위 순삭 ㅋㅋㅋ
방법: 재차의,crys****,1,개노잼개노잼개노잼개노잼
모가디슈,a2zo****,10,보면서도 이게 실화라는걸 의심하게 됨.
방법: 재차의,dsaz****,4,이런거에 K 쓰지말자....댓글알바하면 얼마받음?
모가디슈,alsa****,2,생각보다 재미가 없는데
모가디슈,rlat****,10,뭔가 허전하다? 아쉽다 싶은 느낌은 분명 있는데억지로 쥐어짜내는 신파 없이 담백하게 딱 보기 좋았어요  만족해요
진링의 13소녀,kdod****,10,같은 아픔을 가진 민족으로 영화 보는내내 가슴이 먹먹 했다.. 전범국가 일본의 잔인함을 보여주는 영화..전세계 사람들이 봤으면 좋겠다 특히 일본인들!
모가디슈,sda0****,10,워우..일단 처음 깔리는 음악이 분위기를 한껏 고조시켜줍니다. 덕분에 몰입감이 200% 올라감과 동시에 제 심장박동이 펌핑펌핑 됐구요. 그렇게 쪼달리는 맘 부여잡으며 이어지는 스토리에 집중할 수 있었습니다. 연기는 뭐 말할 것두 없는 배우들이구요ㅜㅜ 티밍이런데서말고 충분히 영화관에서 돈주고 볼만한 가치가 있는 영화네요
방법: 재차의,wanu****,3,시간이 아까워용 ㅠㅠ 인물간 관계 설명도 부족해서 왜 서로 애틋한지...모르겠다
모가디슈,agt6****,10,정말  상상초월이네요.코로나  시국에  개봉되어  안타까워요.ㅡ역시  김윤석배우네요.꼭  봐야하는  영화입니다.꼭꼭  보세요.
방법: 재차의,tjdd****,1,식상한주제를 지루하게 연출하는것. 잘봤습니다.보다 똥싸고왔네요
모가디슈,0728****,10,아이맥스로 봤는데 또 보러 갈껍니다 !
모가디슈,zxcv****,2,음 딱히 재밌다고 느끼진 못함 그냥 넷ㅍ로 봐도 음..돈아까움
방법: 재차의,moab****,7,"오늘 ""모가디슈""도 봤는데, 연기는 좀 그래도 더 재미나네. 그런데 드라마는 미리 보는게 좋겠어."
"광해, 왕이 된 남자",nucl****,10,
모가디슈,mang****,6,평범 그자체 문화의 날에 볼만함
모가디슈,long****,1,왠지 북한미화하는거 같음..우리의 주적은 북한~~
정글 크루즈,rock****,7,캐리비언의 해적 보급판 정도 되네요 ^^ 드웨인 존슨 팬인데 영화는 그냥 쏘 쏘~
수춘도 2: 수라전장,kimd****,10,재밌어요.일편도 재밌었지만.
방법: 재차의,cupp****,10,"방법 드라마를 안보고서도 영화를 볼수있지만, 드라마 본 사람들은 캐릭터들 특성을 알기 때문에 알고보는 재미가 있다는 점. 드라마 안 보시고 영화만 보신분들은 꼭 나중에 드라마도 정주행하시길. 심장쫄깃해지는 장면 당연 포인트지만.. 마음 한켠이 아픈 장면도 있음. 그래서 좋다. 그냥 무섭고 놀래고 끝나는게 아니라서. 시즌 계획이 있으신거겠죠? 시즌기다립니다!!!"
모가디슈,wltn****,8,"배경은 너무 리얼한데, 배우들은 보면 너무 연기하는게 티나서 뭔가 부자연스런 느낌!(연기를 잘 하지만 주변 배경과 이질적인 느낌)  마지막에 맘이 찢어지는 느낌, 막 억지스런 감동 그런거 아니라 좋았음."
모가디슈,vldl****,10,짱잼!! 꼭 보시길 바랍니당
갈매기,viol****,10,"작지만 필요한 영화. 삶을 그저 사는 게 아닌, 삶을 살아내기! 주오복처럼. 힘든시기 이 영화 보시고 힘내세요!!"
모가디슈,pors****,6,북한을 꼭 등장시켜야 하나.. 싶다..별로 큰 재미는 없었어요.
모가디슈,ptp7****,1,북한과의 억지 공감대와 개연성없는 연출
모가디슈,skfl****,10,꼭보세요 ~~ 두번보세요
갈매기,tian****,10,정말 찐입니다^^ 영상미가 너무 퍼펙트합니다.
랑종,skek****,10,저평가받는게 이해안될만큼 재밌게 봄
모가디슈,cimc****,10,영화 잘 만들었네요. 북한과 같이 생활할때는 이념차이가 느겨지지만 한동포임이 느껴지는 대목이네요. 영화 괜찮습니다.
암수살인,univ****,9,배우분들이 연기를 다 잘하셔서 몰입하면서 본 영화.. 범죄스릴어 좋아하면 꼭 보는거 추천
미드나이트,sowo****,1,이거 10점주신분들 진짜 진심인가요? 감독님이 경찰한테 악감정 있으신듯...
모가디슈,home****,7,"영화의 영상미는 그런대로 재밌게 봤지만 영화 처음부터 끝까지 보는 내내 자막 나오는 부분에서 자막속도가 빨라서 이해하지 못하고,계속 넘어가 짜증 났었고,음향 부분에서 듣기 싫은 소리 때문에도 짜증남~보통 하(下) 임"
모가디슈,home****,7,"영화의 영상미는 그런대로 재밌게 봤지만 영화 처음부터 끝까지 보는 내내 자막 나오는 부분에서 자막속도가 빨라서 이해하지 못하고,계속 넘어가 짜증 났었고,음향 부분에서 듣기 싫은 소리 때문에도 짜증남~보통 하(下) 임"
모가디슈,jeon****,10,"개봉일 5시에 봤습니다.엔딩크레딧 다 보고싶은 국내영화는 처음이었습니다.엔딩크레딧 까지 다 보고 나왔습니다.쿠키영상은 따로 없습니다.승완이형, 한건 했어 진짜!!!"
오필리아,chri****,10,데이지 리들리는 꽃보다 아름다워. 역대급 캐릭터 구축.
콰이어트 플레이스 2,mjum****,1,댓글 알바작업 심하네요…..
모가디슈,ddm2****,10,삼팔선은 삼팔선에만 있는 것은 아니야
정글 크루즈,wkft****,9,살짝 뻔한 결말이긴 했어요 저 보면서 중간에 자막이 없어서 꽤 놀랐거든요 거의 중후반 정도에 그 장소에 딱 도착했을 때 릴리가 강으로 뛰어들면서 프랭크가 겁에 질린 릴리한테 trust me 하는 장면이 있었거든요 그 전부터 후반 1분 남짓 정도가 자막이 없었어요 trust me 장면은 자막 없던 장면에서 중간 정도쯤 했구요 저 뿐만 아니라 극장 안에 있던 사람들 다 당황했어요 일부러 자막 안 넣은 건가 했는데 그런 것도 아닌 것 같더라고요..
블랙 위도우,sang****,8,"적당히 재미있는데 기다린거에 비해선 좀,,"
모가디슈,gabe****,10,
정글 크루즈,dcso****,8,고양이 ㄹㅇ 기엽누ㅋㅋㅋ
모가디슈,suni****,1,와 진심 2시간20분 단 한순간도 긴장감 있는적이 없네. 정말 너무 지루. 게다가 자막 넣는걸 화면 가득 채우는 어벤저스 따라하니? 김윤석 맨날 그톤. 조인성 발음도 못알아 듣겠음. 기타 연기 개발연기. 각본 연출 진심 뜨레귀
블랙 위도우,rkda****,10,
미드나이트,coth****,1,1점도 아깝습ㄴ다 ! 정말 고구마 오조오억개 ㅎ 하 ... 진짜 왜 이렇게 만들었어요 영화?? 보라고 만든거 맞아요? ㅎ 하하 진짜 답답해 죽어버려 군인은 살인자한테 데려다 주고 ㅎ 아 진짜 미쳐 내가 ㅜㅜ 아제발 ... 이영화 없애줘요
방법: 재차의,2002****,1,스토리가 어설프고 지루함. 긴장감이나 박진감은 1도없음. 마지막부분은 더더욱 뜬금없음. 보다보면 하~~도 어이가 없어서 웃음만 나옴. 세상에....이것도 영화라고 만드냐....쓰레기
모가디슈,minj****,10,연출력과 배우들의 연기력이 다함 감동적인 면이 커서 넘 조음
모가디슈,popu****,10,개봉날 관람 구교환님 좋아요
모가디슈,pyas****,10,모가디슈 그리고 구교환
모가디슈,hjyi****,10,"한 번 보면 아쉽다.2D,4D,4DX 로 두번 세번...봐야한다."
랑종,p1k4****,8,"연출, 짜임새, 결말 등 대다수가 곡성의 한단계 이상 못미쳤지만, 볼만했음"
갈매기,what****,10,지독하게 현실적으로 오복의 삶의 단편을 보여주며 우리가 관철해야할 뿌리깊은 사회적 통념에 대해 다시 한번 상기시키는 영화.
모가디슈,ssor****,10,기대이상이었음 코로나시국에 개봉해 내가 다 아쉬울지경 연기 연출 모두 빠질 것 없이 훌륭하다 생각합니다 추천해요!!!
보스 베이비,kpgi****,2,"더빙으로 봤는데 보면서 몇번을 깜짝 놀랬나몰라요. 아이들 보는 만화에 ""잘가라 이 쓸모없는 쓰레기야"", ""꺼져"" ""닥쳐"" 라는 등 아이가 듣고 배울까 너무 걱정되네요. 더빙 할 때 그런 단어 검사는 안하나요???"
애프터 웨딩,city****,4,별 개연성도 없는 스토리억지 감동
모가디슈,ehdn****,10,80년대 당시 상황에서 북한과 관계를 잘 나타내고 마지막이 좀 아쉽지만 정말 재미있게 본 영화
모가디슈,0615****,10,생존 앞에서는 이념따위란 의미없다.
모가디슈,bang****,10,끝까지 긴장감 너무 좋았구. 전쟁의 참담함. 분단의 비극을 처절히 느낀 너무너무 재미는 영화였음. 비행기안에서 마지막 인사를 나눌때 가슴이 먹먹했다. 전쟁에서 살아돌아왔지만 마냥 기뻐할수없는 현실....그들의 마지막표정이 기억에 남는다.
모가디슈,jmki****,9,"억지없고, 깔끔하고, 사건을 중심으로만 구성된 군더더기 없는 영화"
모가디슈,shin****,10,연기력도 좋고 마지막엔 뭉클하고 오랫만에 영화관에 가서 좋은영화봤어요.
모가디슈,nalj****,10,
모가디슈,2zi_****,10,"하 몰입 너무 해갖고 걍 내가 그기 탈출하려고 하다가 담걸렸슈 모가디 그냥 자라목됐슈 남자친구랑 진짜 오랜만에 영화 봤는데 몰입감 걍 너무 쩌러갖고 마지막에 눈물 한방울 흘리고 걍 내가 모가디슈 탈출하는 줄 알았슈,,,,내가 이렇게 격한 반응 보인 거 범죄도시 이후로 올만인데 이거 대박날 거 같슈 조인성 섹시포텐양애취공무원미 터지슈,,그리고 한국이랑 북한 갈라진 거 마지막에 맴 쓰렷슈,,,모가디슈,,,대박이지만 몰입감 특히 그 배경으로 깔리는 음악땸에 더 죽고싶었슈,,암튼 지금 영화 여운에 개쩌러잇는대,,,걍 개미텼슈,,,지금 걍 모가디슈 라임에 절어있슈 감동 여운 개쩌슈,,,조인성 광기 ,,,개미쳤슈,,,그럼 이만,,,"
모가디슈,666m****,10,명작이네요그래픽도
모가디슈,lim2****,10,조인성의 잘생김 허준호님의 묵직함 스트레스풀리는 연출에 감동까지 아 보는내내 미치는줄
방법: 재차의,dlrk****,10,오랜만에 스릴넘치는 영화봤습니다 기대안했는데 너무 재밌었습니다
CCTV,naha****,8,배우분들 연기 다 잘하시네요^^
방법: 재차의,sato****,1,이런 망작에 투자하는 투자자들의 뇌를 영구히 보존해 후세가 분석하게 해야 한다.
랑종,dlqh****,10,개인적으로 첨부터 집중하고보면 스토리도그렇고 재밌음 영화끝나고도 자세한 해석내용 보는데 소름 돋음...기괴하다고들하는데 그것도 스토리알고보면 다 그럴만한거임 초반에 다큐실화처럼나와서 지루해서 대충보고 평가남긴 사람들 백퍼 있을거...
말모이,wjy-****,10,학교에서 봤는데 스토리가 슬프고 감동이에요..!
사자,jinc****,10,저의 인생작 탑 3안에 들어요 진짜 사자만에.세계관이 너무 흥미롭고 재미있어용 꼭 보시은걸 추천!
방법: 재차의,wldn****,10,
모가디슈,sato****,1,"제목이 망작은 반드시 망한다 염력, 창궐, 물괴, 서복동, 소문난 숭리호 등등"
모가디슈,wndu****,10,"초반에는 코믹한 부분이 있어서 재미있고, 뒤로 갈 수록 긴장감 넘쳐서 마지막까지도 재미있게 봤습니다! 완전 추천해욤"
모가디슈,real****,10,연기 굿. 2020부터 코로나 시작되고 본 영화 중에 최고였다. 간만에 영화 같은 영화 봄.
새콤달콤,cool****,10,재밌어요^^ 장기용 좋아요
모가디슈,smsk****,10,간만에 지대로 된 영화네요.
CCTV,kkra****,10,정말 재밌어요~~~~
아메리칸 메이드,kgrt****,6,톰크루즈야 연기 잘하는거야 당연하고그냥 몰입되기보다는 지루한감이 많았음..
미스 영의 행방,zksy****,5,
모가디슈,sotl****,10,"외국인이 한국어 하고, 한국인이 영어 쓰는 영화."
랑종,hell****,10,너무 재밌어용 혼자보면 무서워요ㅜㅠ
모가디슈,qhtj****,10,
모가디슈,psp0****,1,대체 이런영화는 왜 만드나요? 내 시간 돈 돌려내
모가디슈,wuta****,6,따발총을 맞아도 차는 멈추지않는다ㅋㅋㅋ
블랙 위도우,lhs0****,8,생각보다 기대 안하고 봤는데 진짜 진짜 재밌음ㅜㅜ 블랙위도우의 과거까지 알수있었던 흥미로운 영화임...보시는거 추천드려여
모가디슈,dear****,10,영화 정말 좋네요 연기도 좋고 내용도 좋고 재미도 있고 영상미도 훌륭해요
블랙 위도우,magn****,10,약빨 수트빨 능력빨 없이 싸우는 블랙위도우 짱이다...
랑종,0519****,10,미친듯한 영화 ;;; 오져버렸습니다 랑종 무슨 세상제일 무서운 영화라 죽어버릴거같았어요 하
모가디슈,magn****,6,와! 재밌다도 아니고 아...돈아깝다 도 아님그냥 볼만 했습니다
모가디슈,kati****,10,한순간도 지루하지 않고 몰입해서 볼 수 있었다. 올해 최고의 영화
랑종,gq28****,10,이렇게 무서운 영화 처음봅니다 진짜 기저기찰듯한 영화였어요 미칠뻔 작가 미쳤다 오져
모가디슈,a730****,10,모처럼 큰 스케일의 수작이 나왔네요!거기에 뭉클한 감동까지....시간 가는 줄 모르고 재밌게 봤습니다!!
이스케이프 룸 2: 노 웨이 아웃,agu3****,8,러닝타임이 짧아서 1시간 반 동안 계속 몰입감 있게 볼 수 있었던 것 같아요. 추천합니다.
방법: 재차의,acti****,8,재밋게 보고 왔어요 ㅋ   아신전보다 잼나는거 같아요~~~
에듀케이션,happ****,4,보는사람이 대사는 알아들을수있게 영화를 찍으셔야죠.. 웅얼웅얼거리다가 끝나고 뭔지 모르겠네요
남자가 사랑할 때,tnql****,10,
방법: 재차의,a730****,9,드라마 안 봤지만 크게 상관없이 봤네요.재밌게 잘 봤습니다. 후속편 나왔으면 좋겠어요!
모가디슈,indu****,6,아쉽다재미는 없었다
방법: 재차의,andr****,10,역시 방법 재밌었어요!
모가디슈,daeh****,8,그냥 좋은 액션 영화였다
모가디슈,sheo****,10,간만에 본 재미있는 한국영화
보스 베이비 2,uiop****,8,보스 베이비 1이랑 약간 연결되서 1보고 2보는게 좋을듯 쨌든 넘나 잼게 봄
모가디슈,pon0****,10,물불 안가리고 일단 살고 봐야지
모노노케 히메,jaso****,10,이게 97년도의 영화라는 걸 믿을 수가 없다
모가디슈,jye8****,8,평점이 너무 좋아 기대가 컸나 봐요대작은 대작이지만 또 보고 싶다는생각은 안 드네요캐릭터를 잘 살려냈고 괜찮았어요
모가디슈,dltn****,10,올해 본 영화 중에서 제일 값어치했다고 생각함 한국 영화가 이정도 수준만 맞춰줬으면...
방법: 재차의,inco****,4,뭔가 유사 좀비 유사 헐리웃 같은 영화인데 되살려낸 시체들이 뭐랄까 좀 기괴하고 귀신같은 느낌이 아니라 태권도 시범단이나 비보이들 공연하는 느낌이랄까 움직임이 너무 경쾌하고 신나요 기괴한 느낌이 하나도 안들었고 그냥 시범단이 귀신 분장하고 공연하는 느낌이 많이 나요 ㅎㅎ 정말 하나도 안무서워요 너무 신나요 ㅎㅎ 드라마가 조금 더 나아요 드라마는 굿하는 장면이 기가막혔는데 영화는 그런 임팩트있는 기괴한 장면이 없네요
아이스 로드,ljsk****,8,니암리슨의 전형적인 영화..
모가디슈,hnhm****,8,"소말리아 내전 당시,남북의 갈등을 '생존'이라는 공통분모로 '휴머니즘'의 주제를 담은 영화.영화 제목을 정할 때 많은 고민이 있지는 않았을까? 라는 생각이 스쳤지만, 이 영화 덕분에 소말리아의 항구 도시 모가디슈를 알게 됐다. VFX라고 표현되는 시각효과 C.G 기술은 이제 헐리우드와 견주어도 전혀 손색이 없을 정도고, 30분에 한 번 꼴로 동공을 확장하고 호흡을 가다듬게 하는 서스펜스는 인상적이다. 영화의 마케팅 키워드로 차량 추격전을 강조하던데, 베를린의 액션신에서 현장스탭들이 미친 감독이라고 했다는 말이 과언이 아니라는 생각이 들 정도로 차량 추격신은 인상적이다. 해외에서 그 많은 보조출연자와 현장스탭을 아우르는 리더쉽은 쉽지 않았을 텐데, 감독과 프로듀서를 거장이라고 생각하는 이유도 여기에 있다. 공교롭게도 어제 남북 직통 연락선이 복원된 시점에서 개봉된 모가디슈. 10년 안에는 남북합작 영화가 현실이 될 수도 있겠다는 기대와 더불어 통일에 대한 염원을 기원하기도 했다. 사족) 영화가 때론 정치,사회,경제,역사를 아우르는 단편 교과서가 되기도 한다."
크루엘라,fldn****,10,미쳤다 진짜 아. 진짜 솔직히 미쳤다
블랙 위도우,moch****,8,진짜 재미있게 잘봤습니다.
모가디슈,ssub****,8,연기 좋다. 액션 좋다. 배우 좋다. 근데 왜 근 3-4년간 꼭 북조선이랑 엮는 영화만 나오나?
