영화제목,아이디,평점,댓글
극장판 귀멸의 칼날: 무한열차편,ruby****,10,연출이랑 배경이 너무 훌륭하고 좋았습니다.
모가디슈,hyun****,1,
모가디슈,hyo4****,8,"억지 신파도 없고, 딱 그 시대 상황과 그 상황 속에서 사람들의 심리와 행동을 잘 풀어낸 영화라고 생각합니다. 끝까지 심장이 쫄깃쫄깃한 영화 !"
모가디슈,ting****,10,최고최고!!!주말에 또 보러 갈거예요
랑종,dlwl****,7,모두의 입맛을 맞추기는 어렵당... 좋았던 것도 분명 있고 아쉬웠던 장면들도 분명 있었다.
분노의 질주: 더 얼티메이트,gund****,10,중간에 우주 날라가는거  뻬면 재밌음
방법: 재차의,vudd****,1,차라리 집에서 무한도전 보십쇼
명당,yjhy****,9,"땅의 미신적 성향을 소재로 영화를 만들 수 있는 나라는 우리나라가 유일하고, 이 점을 세계적으로, 모든 국민에게 공감시킬수도 없을 것.하지만 종교도 믿지 않는 나에게 충분한 흥미와 긴장감을 주었음.조승우의 연기력은 일품이였고, 백윤식은 화가 치밀 정도로 완벽했다.재미있었던 영화"
발신제한,ovuv****,1,시나리오 현대차 영업부에서 쓴거 아니죠? 배우가 아까워요
걸리버 여행기,cant****,10,"평점 테러하지 마라,.... 한국영화랑 경쟁붙어서 알바한테 평점 테러당한것 같은데,.... 적당히 하시길,... 최소 7점 이상이다."
내 사랑,cook****,10,너무 아름다운사랑.. 낡은 양말 한켤레...
랑종,dhfo****,1,역겹고 징그럽고 짜증난다
해리 포터와 혼혈 왕자,sasa****,10,내 어린시절을 함께한 영화! 내가 판타지 장르를 좋아하는 사람으로 만들어준 영화!
프레데터 2,dudg****,2,프레데터1은 위대했다 ㅠㅠ
정글 크루즈,lyc2****,10,여름과 잘 어울리는 액션 블록버스터. 오랜만에 극장에서 보기 참 잘했다는 생각이 드는 스케일 터지는 영화였습니다.
써니,kkkk****,10,이 시대에 살지 않았음에도 진짜 재밌게 봤다... 얼굴 다친 사건 후로 계속 울면서 봤는데 장례식에서도 눈물이 난당...
시간이탈자,sky2****,1,"이걸 시그널이랑 비교한다고? 미친 진짜 장난하냐 어디 시그널같은 대작 띵작 웰메이드를 요런 개연성 시리얼 말아먹은 영상이랑 비교해ㅠㅋㅋ 감상포인트는 연기임. 조정석 배우님의 언제나 좋은 연기와 이진욱? 배우님의 너무 별로인 연기.플러스마이너스니까 감상포인트는 없는 걸로.일단 개연성이 지읒도 없어용. 살인자 나오고 추격전 나온다고 다 스릴러인거 아님; 그냥 sf+고구마 처먹은 황당한 전개. 진짜 왜 등장인물들이 다 머릿속이 빈 사람처럼 구는지, 이 상황에 이렇게 말하고 이렇게 행동한다고? 유치원생들도 이러면 안된다는 걸 알거야 싶은 장면이 진짜 구라안치고 10번도 넘게 나옴;너무 억지스럽고 답답해서 보는 나까지 열뻗쳐 죽기 딱 일보직전 상태를 경험하고 싶은 사람이나 뭐 시간살인자들이 보면 좋을듯. 아니 아니 그냥 시그널 보러갑시다!"
모가디슈,anni****,10,와 진짜 몰입도 쩔고 진짜 재밌음...걍 무조건 봐야됌
크루엘라,lgsa****,4,친엄마 였다는 반전은 생각지도 못함 하지만 너무 지루했다
장산범,mk33****,10,너무너무슬펐다 힝ㅜㅜ
짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,wooj****,2,짱구 암덩어리에 처죽이고싶음..
에반 올마이티,cant****,10,아는 만큼 보이는 영화입니다. 포장은 어린이 영화지만 매우 심오하고 철학적 화두가 곳곳에 비치되어 있습니다.
여고괴담 여섯번째 이야기 : 모교,karl****,2,더밝혀 만져당을 거르지 아니하면대한의 딸들이 기쁨조화 된다~♡
모가디슈,cici****,10,
모가디슈,7261****,10,
나고야 살인사건,ant3****,1,청불 치곤 안 잔인함 그리고 연기도 너무 자연스럽지 않음 처음에 시작할때 브금이 제일 무서웠음
엽기적인 그녀,trin****,10,
모가디슈,tmf0****,10,아 여운이 너무 진하게 남아서 한 번 더 보러 가려고요. 연기력들은 말할것도 없고 내용도 지루함 1도 없고 너무 재밌게 봤어요 마지막엔 눈물이 안멈추더라고요
CCTV,shsh****,1,"댓글, 평점알바 정말많네...여러분의 시간은 소중합니다"
모가디슈,para****,10,"오랜만에 재미있는 영화 봤네요,^^"
모가디슈,0119****,10,너무재밋었어요!!!@강츄
필립 모리스,hanm****,6,평점보다는 좀 지루한 감이 있네요
낫아웃,usfy****,1,암걸려 OOO줄 알았다.아휴 우유부단한 새
분노의 질주: 더 얼티메이트,diab****,1,"각본, 연출. 역대급 OOO다... 이건 재활용도 안된다.... 하하하. 어이가 없네??!"
모가디슈,real****,10,"우와!!! 감독님, 배우님들, 스텝들에게 박수를!!! 소말리아인들로 나오는 모든 외국인 배우들 단역들까지 다 연기를 잘해서 감동!!! 이런 역사적 사실을 다시 되짚어 준 것도 너무 좋다!!!"
하이큐!! 땅 VS 하늘,hdr_****,10,얏쿵 발목 우짜냐ㅠㅠㅠ
지구가 멈추는 날,sony****,10,원작이 정말 명작이네 미래를 예언한 영화 결국 이상기후로 멸망하겠지
모가디슈,ehtm****,9,한국영화 돈내고 잘 안보는 편인데 오랜만에 돈값하는 것 같네요. 스토리도 무난하고 연기력과 영상미가 죽여주네요.
모가디슈,nba1****,8,"음...뭔가 조인성이 무쌍찍으면서, 탈출시키는 영화인줄알았는데..아니였군. 그래도 볼만했음."
돌멩이,r337****,2,내가작품성 보는 눈이없는건가 배우들 연기는 최곤데 걍 스토리가 ...영화보면서 삽십분가량 스킵해도 대충 어떻게진행됐겠구나 예상가능하고 마지막 엔딩도 딥빡... 마치 드라마 고구마부분 에서 나갑자기 예술영화요 하고 끝나는 전개이런거처음 남겨봅니다 간만에 쉬는날 영화봤다가 딥빡해서...
모가디슈,land****,10,"모가디슈. 2000년 박찬욱 감독의 JSA 이후 남북의 비애를 다룬 걸작. 묵직한 슬픔과 울림 20년만이다. 꽤 많은 눈물을 쏟았다. 소리낼 수 없는 먹먹한 울음. 1990.12 소말리아 내전 당시 남북 대사관의 탈출기를 다룬, 5천만 관객이 봐야하는 영화다."
스위트 룸,shae****,6,두 주연 배우는 좋았지만...
꽃다발 같은 사랑을 했다,cybe****,9,죽어있던 멜로의 심장에 동력을 불어넣다.
올레,yunj****,10,박희순 배우님 진짜 웃김ㅋㅋㅋ
랑종,chan****,10,곡성볼때처럼 재밌고 흥미롭고 긴장감 넘쳤다
발신제한,sheo****,6,더테러라이브 짝퉁입ㄷㄷ
극장판 귀멸의 칼날: 무한열차편,nps8****,6,평점이 높아서 봤는데 그 정도의 감동은 아니었다ㅋ
클로버필드 10번지,skeo****,4,집 밖에 나오기 전까진 재밌었다..
모가디슈,thri****,7,"미쳐 날뛰는 싱크로율과 연기, 삘 받은 연출, 아쉬운 스토리"
배드 헤어,yong****,4,무섭지는 않고 그냥 기괴하다. 시대적 배경을 잘 살린 듯 했지만 공포가 약했다.
가장 보통의 연애,weer****,10,좋아요 헤어지고 나서 봤는데 재밌네용
모가디슈,kimn****,10,오랜만에 완전 재밌는 한국 액션영화ㅜㅜ
보스 베이비 2,kamy****,10,기대 안하고 보았는데. 너무 좋았습니다. 어른인데도 이해하기가 어려워서 걱정되지만. 화려한 애니메이션에 만족할 듯 싶네요
엔젤 해즈 폴른,fait****,8,"3편이 제일 재밌네요 ㅎㅎ화려한 액션은 부족하지만, 많이 터트려줘서 시원시원 합니다."
제8일의 밤,psj1****,8,괴물이 참 해맑아서 좋아요
가타카,cjsw****,8,
모가디슈,lisa****,10,와 진짜 올해 본 영화중에 제일 재밌었음 평점같은거 귀찮아서 안남기는데 진짜 진짜 재밌다 극장에서 봐야 더 존잼일 영화 속는셈 치고 가서 다들 보길 진짜 재밌음
콜드 마운틴,grac****,10,최고의 멜로 영화를 찾은 것 같다!
아미 오브 더 데드,ecli****,2,킬링타임용으로도 아깝다
모가디슈,jjww****,9,이영화는 무조건 screenx로 직관하세요!!역사를 알기쉽게 설명하지만 주제의식은 확실하고 깔끔하게 전달되는결말에 여운이 남는 영화였습니다!!무엇보다 현실성이 가미되었다는점이 정말좋았네요
정글 크루즈,aujj****,7,음... 그냥 애들용대상이어서 그런지 스토리는 그런것같고 그냥 에밀리 블런트와 드웨인 존슨 보러간거ㅋㅋ
지구를 지켜라!,ace-****,9,지구를지켜라 조용한가족 하면된다 최고의 한국영화
랑종,thdb****,1,영화관에 나랑 두 커플밖에 없었는데 끝나고 나올 때 모두 서먹하게 나왔다는 후문.. 기분더러워지는 영화
랑종,jhk3****,10,원초적인 불편함을 불러일으키는 내용들이 조금 있습니다. 그런데 일부 장면이 불편했다는 이유로 영화 자체를 부정하는 벌레들이 많은 것 같아서 안타깝네요. 저는 영화 강추합니다.
아이덴티티,vapo****,9,상상을 초월
1917,prec****,10,내 인생영화 리스트 최상단에 업로드 됐음.
미드소마,dtww****,6,단순히 미친 싸이코 영화라고 단정짓는것보다.기득권을 가진자가 광기의 신념에사로잡히면 마을(국가)사람들은 그것이 무엇이 되었던간에 옳다고생각하는 사상적 무서움을 보여주는영화.
모가디슈,hn81****,10,액션과 감동의 두마리 토끼를 다 잡았네요.
곡성(哭聲),vapo****,8,그놈은 그냥 미끼를 던져분 것이고 자네는 고것을 확 물어분 것이여
미드소마,audi****,2,진짜 내인생에 최고의 쓰레기영화 내용도없도 하고자하는뜻도없고 그냥 개사이비종교영화 스웨덴이 싫어질정도의 쓰레기영화
방법: 재차의,a010****,2,솔직히 이거 잼있다고 하시는분은 배우가족이나 스테프 친구다. 진짜 최악의 영화 ㅡ.ㅡ
족벌 두 신문 이야기,apst****,10,꼭 봐야 할 영화친일 청산 못한게 천추의 한이다
모가디슈,chac****,10,몰입감 있게 잘 보았습니다.
미드소마,tara****,5,아니 저기  곰은  쫌 ....
모가디슈,movi****,8,마스크 쓰고 보기가 상당히 답답해도 ..
모가디슈,blue****,8,간만에 재미있게 본 한국영화! 흥행 성공 가즈아~
모가디슈,ysz0****,10,시간 가는 줄 모르고 정말 몰입해서 잘 봤습니다! 오랜만에 돈 아깝지 않게 본 최고의 영화였어요!^^
랑종,chlx****,10,정말 무섭고 재밌어요.
방법: 재차의,crog****,6,그냥저냥 그럭저럭 괜찮아요
정글 크루즈,kkyu****,8,재미있게 봤어요
모가디슈,puka****,10,"와우.... 그 날 그 시간 속으로 빨려들어가 나도 같이 탈출하는 긴박,긴장감으로 보았어요.배우들 연기 최고! 연출 최고 ! 스토리 최고 !"
엑시트,xiao****,8,남녀갈등 벌이지 말고 서로 손잡고 길잡이 되어 이끌어주며 연대했으면 좋았는데...현실은 코인+부동산 투기로 폭망
오살,56sj****,10,너무잼있다스릴러감동까지
모가디슈,ojs2****,10,아이들과 한번 더보고 싶네요..^^
정글 크루즈,dena****,10,돈이 아깝지 않게 잘봤습니다. 정글의 재밌는요소들을 잘 표현했어요
랑종,inc2****,1,짜증나고 기분나쁜 영화
론 서바이버,vapo****,7,처절한 몸부림
블러드 레드 스카이,judg****,1,마마~~ 이 모든일의 시작과 끝
꽃다발 같은 사랑을 했다,yuri****,10,디지털시대의 아날로그 러브스토리
블랙 위도우,lkm8****,7,끝내주는 30분과 준수했던 나머지
이태원 살인사건,godm****,10,우리나라 역사를 다시 알려주는 영화
방법: 재차의,tyvo****,10,진짜 너무 재밌고 혹시나 막 이런 영화 볼 때마다 여운 남아서 혼자 무서운 상상의 나래를 펼치시는 분들도 보실 수 있을거에요 나쁜 짓만 안 하고 살면 되니까.. 진짜 꼭 봐주세여 ㅜㅜ
블랙 위도우,meta****,4,러닝타임에 비해 이야기를 우겨 넣다보니.. 볼꺼리보다 지루함이 더 길다.마블팬이 아니라면 그저그런 수준
결백,luck****,10,신혜선배우 연기 진짜 장난이 아니다.. 너무 이쁜데에다가 신혜선 배우덕분에 6번 봅니다
기방도령,jun4****,8,재미있는데 댓글알바 얘기가 왜 나올까요ㅜ 준호도 너무 귀엽고ㅎㅎ 스토리도 괜찮은데요^^;;
모가디슈,erke****,10,칠드런 오브 맨이 생각나는 롱테이크 자동차 추격씬이었다
모가디슈,7lea****,9,당시의 긴박함을 잘 느낄수 있었다. 무거울수 있는 내용을 너무 무겁지 않게 잘 풀어낸것같다.
클래식,purr****,10,예전부터 봐야지 했다가진작 볼걸 싶다
블랙 위도우,qkrw****,10,영화 평점 처음 달아보는데 진짜 재밌어요꼭 보세요 정말
모가디슈,glow****,10,"감동, 재미, 긴장, 배우들 연기..어느 것 하나 과하지 않게 적절해서 처음부터 끝까지 흥미진진 잘 봤어요."
모가디슈,wjdr****,10,예고편 재밌어서 봤는데 긴장감 쩔고 스토리 좋음. 몰입감 쵝오!
방법: 재차의,net_****,10,와 그 뛰어다니는 재차의 너무 멋있다~특히 가운데 그 남자..
일주일간 친구,purr****,10,순수한 소년 순수한 소녀 순수의 시대
모가디슈,ghda****,10,김윤석 너무 보고싶었다
발신제한,choi****,10,이정도면 잼있는거지 뭔 개소리들이 일케 많지?
쿵푸 허슬,yhzz****,6,B급 감성은 좋으나 뜬금 없어도 너무 없다.
아이스 로드,sscx****,10,리암니슨배우님의 끊임없는 색다른 도전 찬성
꽃다발 같은 사랑을 했다,neat****,8,과한 로맨스 무드보다 현실성을 택한 영리함이 눈에 띈다.그럼에도 (영화 제목에서도 느낄 수 있지만)섬세한 문체들은 설렘과 생각의 공간마다 배치되어 장르의 기대 가치를 잃지 않았다.오랜만에 시작부터 끝까지 만족스러웠던 로맨스 영화.아! 그리고 사랑의 준비물은 ‘코드와 자취방 그리고 막차’라는 것을 잊지 않게 해줬다.
발신제한,fkal****,6,부산사는 사람인데 너무 현실성없는 장소가 당황스러움..  몇초만에 구를 넘나들고 갑자기 양산으로 넘어가고;;  영화 내용과는 별개로 집중이 안됐음
모가디슈,sazz****,9,재밌어요 간만에 본 영화라서 그런건지허준호배우님 연기는 정말 ...
방법: 재차의,bmj0****,6,방법 드라마 팬으로써 솔직한 후기 남겨요.1.드라마 정말 좋아했는데 드라마 내용과 너무 이어져서 드라마 안본 사람은 어떻게 생각할지 궁금했어요. 그리고 너무 예상이 가서 지루했습니다. 소재가 신선했다는 사람들도 있지만 전 이미 드라마를 통해 다봐셔 신선하다고 느껴지지 않았어요. 2.소진이가 너무 늦게 등장했어요. 영화 보면서 소진이는 대체 언제등장하지? 하면서 계속 기다렸어요. 저는 두꾼과 주술사의 갈등이 있을 줄 알았는데 두꾼이 너무 쉽게 죽었어요. 이렇게 쉽게 죽음을 받아들일거면 굳이 시체를 이용해서까지 할 필요가 있을까? 의문이 들었어요. 드라마 방법이 잼있었던 이유중 하나는 무당과 주술사의 갈등이 있었기 때문이라고 생각합니다. 하지만 이건 단순히 주술사와 시체의 갈등이라 재미요소가 떨어졌다고 생각해요.3.저는 방법 드라마 후속작이라는 느낌만 들었어요. 이럴거면 영화보다는 드라마로 만들어서 좀 더 길게 이끌어 갔으면 괜찮았을 텐데 너무 많은 내용을 영화에 담으려니 지루해지고 설명만 많아진것 같아요.영화보고나서 아쉬운점이 되게 많아요.  저는 드라마와 이어지기 보단 주술쪽으로 좀 더 파고들어서 새로운 내용이 나오길 바랬는데 이건 저의 너무 큰 바램이였겠죠? 전 차라리 방법 드라마 보는 것을 더 추천드립니다. 드라마 방법은 흥미진진했거든요. 솔직히 4점짜리 영화인데..그럼에도 6점이나 주는 이유는 배우들을 좋아해서..배우님들의 노력과 스태프들의 노력을 알기에..
헌터 킬러,alda****,10,스토리 너무 재밌음.. 질리지가 않음
방법: 재차의,flpd****,7,드라마의 스핀 오프여서인지 극장용 영화 보단 TV 드라마 느낌이 강하다. 영화는 전체적으로 무난한 수준. 2번째 쿠키는 드라마와 연결되는지 극장판만 봐서는 무슨 의미인지 잘 모르겠다.
방법: 재차의,gkss****,10,진짜 재밌음!!!! 드라마도추천!!!또해주세여!!!ㅎㅎㅎ 강추!
3096일,djtj****,10,평점을 뭐라고 써야할지 몰라서 매번 망설이다가 결국 못 쓰고 나갔다. 뭐라고 해야되는지 지금도 선뜻 글이 안 써지네. 생존자에게 뭐라고 해야할지 모르겠다. 살아 남아줘서 고맙다? 살아 남아줘서 정말로 다행입니다.
마이너리티 리포트,chr0****,10,"2002년에 만든영화가 아닌, 지금만들었다해고 믿을만한 탄탄한 영화였습니다. 역시 스티븐 스필버그!"
죽지않는 인간들의 밤,kksh****,10,별 생각없이 봤다가  진짜 깔깔 웃었습니다. 다 보고 다시 돌려볼 정도로 재밌네요. 소장해서 우울할 때마다 볼 겁니다. 이미도님 이정현님 서영희님 연기 진짜 맛깔나게 해서 킬포인트가 너무 많았습니다. 오랜만에 소장하고 싶은 영화가 생겼네요.
정글 크루즈,chee****,10,완전 재미있음 꼭 4dx로 보세요 비싼표값 확실히 합니다
해리 포터와 불사조 기사단,jde0****,10,"멋있는 시리우스 블랙 ㅠㅜ 볼드모트  이즈 백을 이제야 믿냐 장관, 엄브릿지 졸라 짜증남"
모가디슈,pjh1****,10,마지막에 참사관임 죽을때 뭔가 한국인의 통하는 마음 ? 이 느껴져서 좋았네요 남북한 마음은 하나다 ! 오랜만에 재밌는 영화 봤습니다 ~
미성년이지만 어린애는 아냐,1215****,9,역시 풋풋하고 하이틴물은 일본이 짱인 거 같아요 잘 봤습니다 중간중간에 조명땜에 좀 아쉬웠지만 재밌게 봤어요 오글거리는 게 일본 특유의 느낌인데 ㅋㅎㅎㅎ 저 이런 거 좋아하네요 ..ㅎㅎ..
더 랍스터,weir****,8,"무엇이 사랑인가? 사랑을 정의할 수 있는가? 정의할 수 있다면 사랑의 필요조건은 무엇인가? 반드시 유사성, 공통점이 전제되야 하는가? 등등 여러가지를 생각해볼 수 있는 영화"
모가디슈,woon****,10,정말 재미있어요!!!!
이스케이프 룸,koss****,10,너무 재미있어요~^^  진짜 스토리 탄탄 ~  2편도 극장에서 볼 정도로 짱재밌어요
아이스 로드,flpd****,7,"부실한 이야기는 아쉽지만, 설원을 배경으로 한 시원한 볼거리와 리암 니슨의 존재감이 부족한 부분을 채워준다."
블루 재스민,song****,10,
랑종,kkun****,7,난 무섭던데....  지루하긴 한데 씨씨티비 보는 씬이 짜증 날 정도로 여배우가 연기 잘했자나 물론 끝이 찝찝함을 넘어 으잌 이게 뭐야 싶기는 한데 애초에 난 기대를 1도 안하고 봐서 그냥저냥 볼만 했습 태국 사람 리뷰에서  반야신 자체가 원래 악신이고 밍한테 씌이는 순간이 최대까지 힘 모아서 들어 간거 같다고 하던데 그렇게 생각하니 재밌습 그 말도 일리 있는것 같던데?
CCTV,tjsd****,1,최악임 보지마세요 ㅠㅠ
범털,gohs****,1,스토리도 없고 연기도 어색하고 연출도 형편어없고 도대체 뭘본건지 모르겠다
새콤달콤,bigd****,8,익숙함에 속아 소중함을 놓치지말길
주토피아,mand****,10,
버드 박스,yuan****,6,그다지... 반쯤 열린 결말이라
야쿠자와 가족,chac****,10,야쿠자가 착한사람은.아니지만 그래도 영화상에서는 인간적인 대우도 못받고 가족한테 외면당하는거보니 안쓰러워서 ㅠㅠㅠㅠ
모가디슈,zxcm****,10,미쳤어요 진짜 코로나 시국 제외하고도 지금까지 본 영화 중 열손가락 안에 드는 한국영화입니다 다들 마스크쓰고 꼭 보세요
낙원의 밤,d0ng****,10,영화보고 처음으로 네이버 리뷰 씁니다 진짜 너무 재밌네요 연기가 무슨 하..
블랙 위도우,scl0****,10,역대급으로 웅장한 액션과 영상미였습니다. 무엇보다 배우들의 명연기가 한 몫 했습니다. 이 영화를 마지막으로 블랙위도우를 보지 못한다는 사실이 너무나도 안타까울뿐입니다.
"연애, 그 참을 수 없는 가벼움",i_lo****,10,이건 진짜 꺼내보고 꺼내보는 내 소주같은 영화
방법: 재차의,ona4****,10,기존 좀비물과는 다른 속도감에 보는 내내 긴장감을 늦출수가 없었네요. 코로나 때문에 극장을 자주 못갔는데 오랜만에 스릴감있게 감상했습니다.
제8일의 밤,kjyb****,10,기본지식 조차 없이 개판오분전 스토리의 사바하보다 백배나요 잼있습니다
남산의 부장들,lic2****,10,인간이 권력욕 앞에서 얼마나 비열해지고 비참해지고 비겁해지는지 신랄하게 연출 한 영화.
발신제한,jara****,1,"알바생만 있냐? 개연성, 현실반영성 단1도 찾아볼수 없다. 영화과1학년이 만들어도 이거보단 잘 만들수 있는 대한민국 역사상 나오면 안될 졸작이다."
말레나,dmsw****,10,한 소년의 눈으로 바라본 유언비어 없는 진정한 말레나의 삶.
시간위의 집,anna****,4,넷플에 있길래 봤는데 할머니 두분(김윤진포함) 분장 연기 다 이상하고 깜짝 놀라는거 몇개말곤 무섭지도 않고 몇몇 장면은 실소를.. 전체적으로 만듦새가 뛰어나진 않음. 네이버 평 보고 봤는데 여기 평점 못믿겠음.
야쿠자와 가족,d120****,10,코메디영화인줄알고봤는데눈물
꽃다발 같은 사랑을 했다,jdh_****,10,모든 연애는 끝의 시작이다.
모가디슈,koma****,10,실화를 바탕 영상미랑 비장함을 잘 표현하여 몰입감이 아주 좋았음
모가디슈,wlsg****,9,간만에 재밌는영화 잘 봤습니다.분단의 아픔은 여전하지만 재밌어요
고스트 쉽,blue****,8,와이어 씬은 잊혀지지가 않네
테라 3D: 인류 최후의 전쟁,dxko****,4,여적놈이 왜 동족에게 암같은 존재인지 잘 보여주는 영화
컨테이젼,or7l****,10,와 박쥐 유전자이야기듣고 바로 평점쓰러옴 대박나게해주세요☆☆
미녀와 야수,dary****,10,몇년 지나서 본게 너무 아쉽고 속상할정도로 너무 잘 만들어졌어요 이런 영화가 많이 만들어지길
13인의 자객,toyi****,9,무사야말로 사람의 목숨을 중요하게 여긴 존재다
맨츄리안 켄디데이트,mien****,1,덴젤 워싱턴 영화 중에서 젤루 재미없게 봤음 ㅎㅎㅎ
발신제한,gusd****,1,개연성 1도 없는 스토리에 놀라고 네이버 평점 높은거 보고 두번 놀랐다
모가디슈,d0ch****,6,사실감이 떨어지는 탈출씬은 그닥...그 많은 총알을 쏟아 붓고도 한명만 죽었다는건?그냥 차바퀴만 쏘면 끝날것을...
모가디슈,goyk****,10,오랜만에 평점을 남겨봅니다.
모가디슈,goyk****,10,오랜만에 평점을 남겨봅니다.
엠마,true****,1,하하하ㅎㅏㅎ하하ㅎㅏ하하하  무슨 내용이고
사랑은 비가 갠 뒤처럼,gb21****,10,아재와 소녀의 성장물이라고 해야하나... 현실적이면서 비현실적인듯
이스케이프 룸 2: 노 웨이 아웃,plan****,10,동생이랑 저랑 공포물 매니아라 시간내서 같이봣어여~~둘다 시간가는줄 모르고 봤네여한시간 반 러닝타임이 마치 5분처럼 느껴져여 ㅋㅋㅋ흡입력 쩜 ㅋㅋ강추입니당 ㅋㅋㅋ
모가디슈,dc54****,10,영화 최고로 재미있네요 이런거 안쓰는 사람인데 너무 재미있으니까 안쓸수가 없네요 이 영화 제작사 어디에요?  상장사면 당장  주식 사야겠어요 대박 확실해보이니까요
왓치맨,thef****,9,"영화 점수 높게 준 사람들한테 비아냥거리지마시고사람마다 기준이 다르니까 인정 좀 하세요.,"
모가디슈,cguv****,10,기대안하고봤는데... 존잼!!  남친손꽉잡고 심장쫄깃하게 끝까지봤는데 남친은왜잼없다고하는지 저도몰겟지만ㅋㅋ 블랙위도우만큼 보다!  재밌는 느낌!
보이저스,drpj****,4,잭 죽여버리고 싶다...
피끓는 청춘,imsi****,8,나쁘지 않은데? 80년대 성장일기라는 관점 거기다 카사노바같은 주인공 일심단편 민들레 같은 여주 뻔한 얘기지만 흐름 자체가 나쁘다곤 보여지지 않는다 잔잔하면서 깊은 감동은 없어도 나름 괜찮았다고 본다~
모가디슈,bles****,6,재밌는 영화. 그러나 한방이 부족하고 쭉 흘러감
방법: 재차의,kman****,10,광고 아님시간 가는줄 모르고 봤네요.방법 시즌2  드라마 기대 합니다.
스토어웨이,alsc****,10,이렇게 만든 이상 2편 개봉해!
박화영,dmst****,10,"국경도, 나이도 모두 초월하는 계급의 진실"
다만 악에서 구하소서,arkj****,4,이 허술하고 진부한 잡탕 영화를 용서하소서
분노의 질주: 더 얼티메이트,ifor****,6,"스토리는 이해하나, 갈수록 지나치게 허무맹랑 해지는 스턴트는 실소를 나오게 한다. 분노의 질주 1이 그립다."
덕구,rocn****,10,순재옹... 아역들도 필요이상으로 연기를 잘한다.. 심지어 덕희 방에 갇혔을때 짖던 개도 연기를 잘함.. 여튼 기겁할정도로 울었다..
모가디슈,geos****,10,아주 오랜만에 만족하며 보았네요.
모가디슈,07di****,10,다른것도 완벽했고 특히 자동차 추격씬은 잘뽑아냈음 근 2년동안본 한국영화중에 최고의 완성도
벌새,love****,10,여전히 여운이 남는다.
천문: 하늘에 묻는다,cybe****,10,널리 인간을 이롭게 한다는 홍익인간을 합작한 두 친구의 이야기.
모가디슈,fghj****,10,와… 마지막에 서로를 부르지도 못하고 말도 못하고….마음속으로 임대사…..한대사…. 100번 외쳤다다시봐도 괜찮은 영화오랜만에 보는 영화인데 너무 슬프다북한이라는 나라와 우리나라개인으로 만난다면 사람과 사람이지만국가적으로는 교류 할 수 없는… 너무 슬픈현실이 느껴지는 영화
새콤달콤,pure****,6,"주 52시간 부르짖는 이때, 비정규직만 밤새서 야근하는 모습은 보는 사람들로 하여금 열정페이가 당연시되어 보여 악영향을 끼친다.더구나 중요한 프로젝트를 모든 직원이 진행하는 것도 아니고, 구조엔지니어인지 단순히 3D모델링 그리는 사람인지도 모를 괴상하게 묘사된 직업 또한 어리둥절하게 만든다. 아무리 작가가 직업적 전문성은 없어도 전문적인 건 공부해야 되는 거 아닐까반면 시원한 반전은 뛰어나고 영리하다."
모가디슈,sunn****,10,시대적으로 촌스러움을 놓고 고민했다면...전혀 고민하지 말것~내용을 미리 확인하지 말고 그냥 볼 것을 추천합니다. 가볍게 보고 그리 가볍지만 않을 수 있는 영화
야쿠자와 가족,snch****,10,"보고나서 후회하는 B급 영화투성이인 넷플릭스에서 어쩌다 건진 웰메이드영화. 단, 호불호가 갈림. 진지하고 무게감있는 느낌 좋아하는 사람은 재미있고, 가벼운 오락영화 선호하는 사람에게는 지루하고 재미없을수도."
모가디슈,seo7****,2,류승완 감독다운 전형적인 좌익 우리민족끼리 감성 영화.. 현실은 반대 ㅋ 속지맙시다
나만 보이니,hake****,3,"코믹호러를 표방했지만 둘다 잡지못했다. B급을 표방한 기묘한 작품이 탄생되었다.  방귀끼다가 똥을 누어버린 작품. 연기는 무난했다. 특출나지도 너무 거슬리지도 않아서, 대본과 제작만 제대로 되었다면 무난한 시트콤정도로 마무리될 정도였다. 하지만 운명은 아이돌출신 배우들의 앞날을 축복하지 않았지. 이런 대본이지만 할 수 밖에 없는 친구들로만 구성했고, 작품은 진행되었다. 그리고 우리 앞에 놓여진 밥상앞에서 품평의 대상이 되었고, 숟가락이 날아서 브라운관에 꽃히는 호러코믹이 우리집에 연출되었다."
뮬란,fore****,10,재밌었는데 안좋은 평이 많으네요. 재밌어서 두번 봤음...
블랙 위도우,thsk****,10,미쳤다… 안보면 후회함 재밌고 재밌으니까 보러가~   뭐해? 아직도 보러 안갔냐?
모가디슈,boha****,10,기대 없이 엄마랑 보러 갔는데 너무 재밌는거있죠  ㅜ 미췸 개잼씀 조인성 존잘탱임 ㅠ
모가디슈,over****,10,재밌어요 요즘같은 시국에 영화계의 구원자 느낌
이스케이프 큐브,jaki****,2,영화 처음: ?.?중반: ㅇ.ㅇ?끝: ..?
모가디슈,bles****,10,연출 연기 영상 뭐하나 흠잡을데없이 완벽
프로페서 앤 매드맨,kile****,10,"내게도 영혼이라는게  있다는 걸 확인 하게 해준 작품노장들의 농익은 연기 ,품격 있는 연출 , 스토리 ,영상미 OST 뭐하나 빠질것 없는 작품"
모가디슈,dlat****,10,역시 믿고보는 류승완 감독ㅇㅇ 조인성 구교환도 존잘임ㅠㅠㅠ
