영화제목,아이디,평점,댓글
모가디슈,qrsf****,10,너무 재밌어요 심장떨면서 봤습니다.
모가디슈,skyc****,8,코로나아녔음 대박났을영화..2시간이 후딱가버림.마지막에괜히 짠하고 가슴먹먹하더라
모가디슈,nnnn****,10,올해 본 영화 중 돈 안 아까웠음
은혼 더 파이널,ws_0****,10,은혼이 은혼했다 꼭 슬픈 장면 말고도 감동적인 장면 나올 때 마다 울 뻔했는데 참았다 하지만 2회차 보러 가면 엄청 펑펑 울 것 같음
보스 베이비 2,kell****,10,
아이,temp****,10,잘 봤습니다 영화!!!
모가디슈,youn****,9,재미있었어요.차량질주장면이 기억에 남아요
모가디슈,brid****,10,오 완전잼나요 운전장면들도 넘멋있구 실화라서 더 감동 조인성배우님 상받아야되요 ㅠㅠ넘멋있어요
차타레 부인의 사랑,mjk7****,10,20대에 봤었는데 50대에 보니까 감회가 사롭네요?전 재밌게 봤습니다 영상미가 너무좋너요~
노잉,pred****,10,재밌는데 살짝 무서워요 ㅋㅋ 그래도 나름 명작이라고 생각하는데 왜이렇게 별점이 낮은지.. 어렸을때 보고 아직까지 안 잊혀져서 또 보네요
겟 아웃,ekzk****,7,연출도 좋고 연기도 좋고 스토리가 생각했던 인종차별을 다룬 클리셰가 아니네요. 반전이 있는 영화입니다.
카지노,gkwl****,9,"일단 영화가 아주 재미있고, 연출 기법이 훌륭하네요."
방법: 재차의,ynr8****,10,와..너무재밌다..난 드라마 엄청 재밌게 보고 여친은 드라마 안봤는데 영화도 너무 재밌다…영화라 조금 스토리 아쉬운데 드라마 봐서 별 문제없음..시리즈로 나와라 제발…!!
모가디슈,pepp****,10,최고! 추천합니다!!!
블러드 레드 스카이,ahn3****,4,"발암,암걸리겠다는말을 아무렇지않게쓰는 무뇌평가들이라니..진심 너희들이야말로 진짜 암걸려봐야돼"
모가디슈,gii1****,10,
모가디슈,wint****,10,공짜관람권 쓰려고 본거였는데 대존잼임..평일에  한 번 더 보고싶다. 마스크 쳐벗고 관람하는 인간들이나 간식 싸와서 부시럭대며 쳐먹는 OO들 없을 때.
봉오동 전투,khsj****,10,민족영웅조상님들 정말감사합니다.
